Date,Molarity,Plaques,Dilution,Time
12/8/2020,0,61,-1,0
12/8/2020,0,38,-1,0
12/8/2020,0,42,-1,0
12/8/2020,0,198,-1,45
12/8/2020,0,79,-1,45
12/8/2020,0,118,-1,45
12/8/2020,0,48,-1,90
12/8/2020,0,36,-1,90
12/8/2020,0,30,-1,90
12/8/2020,1,195,-1,45
12/8/2020,1,319,-1,45
12/8/2020,1,236,-1,45
12/8/2020,1,81,-1,90
12/8/2020,1,140,-1,90
12/8/2020,1,92,-1,90
12/8/2020,2,18,-2,45
12/8/2020,2,90,-1,45
12/8/2020,2,107,-1,45
12/8/2020,2,118,-1,90
12/8/2020,2,105,-1,90
12/8/2020,2,95,-1,90
12/8/2020,3,0,-1,45
12/8/2020,3,0,-1,45
12/8/2020,3,0,-1,45
12/8/2020,3,0,-1,90
12/8/2020,3,0,-1,90
12/8/2020,3,0,-1,90
12/8/2020,4,0,-1,45
12/8/2020,4,0,-1,45
12/8/2020,4,0,-1,45
12/8/2020,4,0,-1,90
12/8/2020,4,0,-1,90
12/8/2020,4,0,-1,90
12/15/2020,0,187,-1,0
12/15/2020,0,244,-1,0
12/15/2020,0,159,-1,0
12/15/2020,0,26,-2,45
12/15/2020,0,26,-2,45
12/15/2020,0,37,-2,45
12/15/2020,0,51,-2,90
12/15/2020,0,50,-2,90
12/15/2020,0,35,-2,90
12/15/2020,1,28,-2,45
12/15/2020,1,16,-2,45
12/15/2020,1,22,-2,45
12/15/2020,1,9,-2,90
12/15/2020,1,11,-2,90
12/15/2020,1,39,-2,90
12/15/2020,2,21,-2,45
12/15/2020,2,48,-2,45
12/15/2020,2,47,-2,45
12/15/2020,2,229,-1,90
12/15/2020,2,116,-1,90
12/15/2020,2,179,-1,90
12/15/2020,3,16,-2,45
12/15/2020,3,28,-2,45
12/15/2020,3,28,-2,45
12/15/2020,3,65,-1,90
12/15/2020,3,84,-1,90
12/15/2020,3,125,-1,90
12/15/2020,4,19,-1,45
12/15/2020,4,31,-1,45
12/15/2020,4,17,-1,45
12/15/2020,4,6,-1,90
12/15/2020,4,3,-1,90
12/15/2020,4,3,-1,90
2/13/2021,0,30,-2,0
2/13/2021,0,46,-2,0
2/13/2021,0,40,-2,0
2/13/2021,0,44,-2,45
2/13/2021,0,33,-2,45
2/13/2021,0,40,-2,45
2/13/2021,0,49,-2,90
2/13/2021,0,54,-2,90
2/13/2021,0,45,-2,90
2/13/2021,1,39,-2,45
2/13/2021,1,36,-2,45
2/13/2021,1,48,-2,45
2/13/2021,1,55,-2,90
2/13/2021,1,66,-2,90
2/13/2021,1,55,-2,90
2/13/2021,2,168,-1,45
2/13/2021,2,198,-1,45
2/13/2021,2,242,-1,45
2/13/2021,2,18,-2,90
2/13/2021,2,33,-2,90
2/13/2021,2,34,-2,90
2/13/2021,3,0,-2,45
2/13/2021,3,0,-2,45
2/13/2021,3,0,-2,45
2/13/2021,3,0,-2,90
2/13/2021,3,0,-2,90
2/13/2021,3,0,-2,90
2/13/2021,4,0,-2,45
2/13/2021,4,0,-2,45
2/13/2021,4,0,-2,45
2/13/2021,4,0,-2,90
2/13/2021,4,0,-2,90
2/13/2021,4,0,-2,90
