"bact","phage","totalpfuinoc","Rep","Contents","max","maxtime"
"PAO1","NA",0,"A","PAO1_NA_NA_A",1.4456,43063
"PAO1","NA",0,"B","PAO1_NA_NA_B",1.53357,47598
"PAO1","NA",0,"C","PAO1_NA_NA_C",1.51462,51159
"PAO1","NA",0,"D","PAO1_NA_NA_D",1.50809,51483
"PAO1","OMKO1",100,"A","PAO1_OMKO1_100_A",0.270836,12630
"PAO1","OMKO1",100,"B","PAO1_OMKO1_100_B",0.26778,12630
"PAO1","OMKO1",100,"C","PAO1_OMKO1_100_C",0.278887,13277
"PAO1","OMKO1",100,"D","PAO1_OMKO1_100_D",0.271364,12954
"PAO1","OMKO1",1000,"A","PAO1_OMKO1_1000_A",0.744965,15867
"PAO1","OMKO1",1000,"B","PAO1_OMKO1_1000_B",0.775639,16838
"PAO1","OMKO1",1000,"C","PAO1_OMKO1_1000_C",0.72036,16191
"PAO1","OMKO1",1000,"D","PAO1_OMKO1_1000_D",0.724311,14896
"PAO1","OMKO1",200,"A","PAO1_OMKO1_200_A",0.512932,13277
"PAO1","OMKO1",200,"B","PAO1_OMKO1_200_B",0.421674,12954
"PAO1","OMKO1",200,"C","PAO1_OMKO1_200_C",0.45876,13601
"PAO1","OMKO1",200,"D","PAO1_OMKO1_200_D",0.470771,12954
"PAO1","OMKO1",50,"A","PAO1_OMKO1_50_A",0.1972,12954
"PAO1","OMKO1",50,"B","PAO1_OMKO1_50_B",0.207488,13277
"PAO1","OMKO1",50,"C","PAO1_OMKO1_50_C",0.219479,13601
"PAO1","OMKO1",50,"D","PAO1_OMKO1_50_D",0.202645,12954
"PAO1","OMKO1",500,"A","PAO1_OMKO1_500_A",0.615813,14572
"PAO1","OMKO1",500,"B","PAO1_OMKO1_500_B",0.588566,13277
"PAO1","OMKO1",500,"C","PAO1_OMKO1_500_C",0.595112,13925
"PAO1","OMKO1",500,"D","PAO1_OMKO1_500_D",0.582543,14249
